section,set,vendor,repo,method,operationId,gt_class,c15_class,c16_class,c17_class,c17_rule,c17_evidence
all,holdout3,sentry,sentry,DELETE,deleteOrganizationExternalUser,x,x,x,x,party-noun,summary:user
all,holdout3,sentry,sentry,DELETE,deleteOrganizationIntegration,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateOrganizationMember,x,x,x,x,party-noun,opid:member
all,holdout3,sentry,sentry,PUT,updateOrganizationMemberTeam,x,x,x,x,party-noun,summary:role
all,holdout3,sentry,sentry,DELETE,deleteOrganizationMonitor,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,deleteOrganizationNotificationsAction,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateOrganizationRelease,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateOrganizationReleaseFile,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,deleteOrganizationScimV2Group,x,x,x,x,party-noun,summary:team
all,holdout3,sentry,sentry,DELETE,Disable Spike Protection,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,deleteOrganizationWorkflows,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateOrganizationWorkflows,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateOrganizationWorkflow,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateProject,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateProjectFilter,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,Remove a Service Hook,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,Bulk Remove a List of Issues,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,deleteProjectMonitor,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,deleteProjectSymbolSource,w,w,w,w,floor,
all,holdout3,sentry,sentry,PUT,updateProjectSymbolSource,w,w,w,w,floor,
all,holdout3,sentry,sentry,DELETE,deleteProjectTeam,x,x,x,x,party-noun,summary:team
all,holdout3,sentry,sentry,DELETE,deleteTeamExternalTeam,x,x,x,x,party-noun,summary:team
all,holdout3,vercel,vercel,PATCH,patchUrlProtectionBypass,x,w,x,x,reach-phrase,desc:shareable link
all,holdout3,vercel,vercel,DELETE,deleteAiGatewayVirtualModelConfigBySlug,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,deleteRedirects,x,w,w,x,named-noun,noun:redirect
all,holdout3,vercel,vercel,PATCH,updateCheck,w,w,w,w,floor,
all,holdout3,vercel,vercel,PATCH,updateSharedEnvVariable,w,w,w,w,floor,
all,holdout3,vercel,vercel,PUT,replaceInstallationsByIntegrationConfigurationIdResourcesByResourceIdExperimentationGlobalConfig,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,deleteIntegrationLogDrain,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,deleteKmsIssuerPolicy,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,deleteConfigurableLogDrain,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,batchRemoveProjectEnv,w,w,w,w,floor,
all,holdout3,vercel,vercel,PATCH,updateRollingReleaseConfig,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,deleteFlag,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,deleteSdkKey,w,w,w,w,floor,
all,holdout3,vercel,vercel,PATCH,updateDomainAutoRenew,w,w,w,w,floor,
all,holdout3,vercel,vercel,PATCH,updateTeamMember,x,x,x,x,party-noun,summary:member
all,holdout3,vercel,vercel,DELETE,deleteRepositoryImage,w,w,w,w,floor,
all,holdout3,vercel,vercel,PATCH,updateConnector,w,w,w,w,floor,
all,holdout3,vercel,vercel,PATCH,updateDeploymentCheckRun,w,x,x,x,live-verb,opid:run
all,holdout3,vercel,vercel,PATCH,updateSandbox,x,w,w,x,named-noun,noun:sandbox
all,holdout3,vercel,vercel,PUT,replaceByTeamSlugByProjectSlugByRepositoryNameBlobsUploadsByUuid,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,deleteDomain,w,w,w,w,floor,
all,holdout3,vercel,vercel,DELETE,removeCustomEnvironment,w,w,w,w,floor,
all,holdout3,vercel,vercel,PATCH,updateProjectDomain,w,w,w,w,floor,
all,holdout4,linode,linode,PUT,put-client-thumbnail,w,w,w,w,floor,
all,holdout4,linode,linode,PUT,put-account-settings,w,w,w,w,floor,
all,holdout4,linode,linode,DELETE,delete-databases-mysql-instance,w,w,w,x,named-noun,noun:instance
all,holdout4,linode,linode,DELETE,delete-databases-postgre-sql-instance,w,w,w,x,named-noun,noun:instance
all,holdout4,linode,linode,DELETE,delete-sharegroup-token,x,x,x,x,party-noun,summary:token
all,holdout4,linode,linode,DELETE,delete-image,w,w,w,w,floor,
all,holdout4,linode,linode,DELETE,delete-lke-cluster-acl,w,w,w,w,floor,
all,holdout4,linode,linode,DELETE,delete-lke-cluster-node,w,w,w,w,floor,
all,holdout4,linode,linode,DELETE,delete-managed-contact,w,x,x,x,party-noun,summary:contact
all,holdout4,linode,linode,PUT,put-firewall-settings,w,w,w,w,floor,
all,holdout4,linode,linode,DELETE,delete-node-balancer-config-node,w,w,w,w,floor,
all,holdout4,linode,linode,DELETE,delete-object-storage-bucket,w,w,w,w,floor,
all,holdout4,linode,linode,PUT,put-object-storage-bucket-acl,w,w,w,w,floor,
all,holdout4,linode,linode,DELETE,delete-object-storage-key,w,x,x,x,live-verb,summary:revoke
all,holdout4,linode,linode,PUT,put-placement-group,w,x,x,x,party-noun,summary:group
all,holdout4,linode,linode,DELETE,delete-profile-app,w,x,x,x,live-verb,summary:revoke
all,holdout4,linode,linode,PUT,put-user-preferences,w,w,w,w,floor,
all,holdout4,linode,linode,PUT,put-volume,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,mcp-portals-api-update-servers,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,DELETE,aig-config-delete-evaluations,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,DELETE,ai-search-namespace-delete-instance,w,w,w,x,named-noun,noun:instance
all,holdout4,cloudflare,cloudflare,PUT,upsertRepoConnection,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,DELETE,delete_IndicatorRelationshipDelete,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PATCH,patch_ColumnUpdate,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,dlp-data-classes-update,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,DELETE,email_security_delete_domains,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,zero-trust-update-audit-ssh-settings,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,zero-trust-gateway-rules-update-zero-trust-gateway-rule,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,DELETE,cloudflare-images-sourcingkit-delete-migration,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PATCH,updatePrefix,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,magic-interconnects-update-multiple-interconnects,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,magic-site-lans-update-lan,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,r2-put-bucket-lifecycle-configuration,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,DELETE,delete-presets-preset_id,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,slurper-check-source-connectivity,r,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,DELETE,tunnel-virtual-network-delete,w,x,x,x,party-noun,summary:network
all,holdout4,cloudflare,cloudflare,PUT,custom-pages-for-a-zone-update-a-custom-page,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,api-shield-operations-put-labels-to-operation,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PUT,client-certificate-for-a-zone-put-hostname-associations,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PATCH,load-balancers-patch-load-balancer,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PATCH,zone-settings-edit-single-setting,w,w,w,w,floor,
all,holdout4,cloudflare,cloudflare,PATCH,ssl-verification-edit-ssl-certificate-pack-validation-method,x,w,w,x,named-noun,noun:method
all,holdout4,cloudflare,cloudflare,PUT,waiting-room-replace-waiting-room-rules,w,w,w,w,floor,
all,holdout4,x,x,DELETE,deleteAccountActivitySubscription,w,w,w,w,floor,
all,holdout4,x,x,PUT,updateActivitySubscription,w,w,w,w,floor,
all,holdout4,x,x,PUT,updateBot,w,w,w,w,floor,
all,holdout4,x,x,DELETE,deleteScheduledBroadcast,w,w,w,w,floor,
all,holdout4,x,x,DELETE,deleteBroadcastChatMessage,x,x,x,x,party-noun,summary:message
all,holdout4,x,x,DELETE,deleteConnectionsByUuids,w,x,x,x,live-verb,summary:terminate
all,holdout4,x,x,DELETE,deleteConnectionsByEndpoint,w,x,x,x,live-verb,summary:terminate
all,holdout4,x,x,DELETE,deleteCommunityNotes,w,w,w,w,floor,
all,holdout4,x,x,DELETE,deleteWebhooksStreamLink,w,x,x,x,party-noun,opid-token:webhook
all,holdout4,x,x,DELETE,unfollowList,w,w,w,w,floor,
all,holdout4,x,x,DELETE,unlikePost,w,w,w,w,floor,
all,holdout4,x,x,DELETE,unrepostPost,w,w,w,w,floor,
all,holdout4,x,x,DELETE,unfollowUser,w,x,x,x,party-noun,summary:user
all,holdout4,x,x,PUT,validateWebhooks,x,x,x,x,party-noun,summary:webhook
all,holdout5,notion,notion,DELETE,delete-a-block,w,w,w,w,floor,
all,holdout5,notion,notion,PATCH,update-a-block,w,w,w,w,floor,
all,holdout5,notion,notion,PATCH,patch-block-children,x,w,w,x,named-noun,noun:children
all,holdout5,notion,notion,PATCH,update-a-data-source,w,w,w,w,floor,
all,holdout5,notion,notion,PATCH,patch-page,w,w,w,w,floor,
all,holdout5,notion,notion,PATCH,update-page-markdown,w,w,w,w,floor,
all,holdout5,amazon,amazon,PUT,updateInboundShipmentTransportDetails,w,w,w,w,floor,
all,holdout5,amazon,amazon,PUT,updatePackage,w,w,w,w,floor,
all,holdout5,amazon,amazon,PUT,cancelFulfillmentOrder,x,x,x,x,live-verb,opid:cancel
all,holdout5,amazon,amazon,DELETE,cancelFeed,w,x,x,x,live-verb,opid:cancel
all,holdout5,amazon,amazon,DELETE,deleteScheduleTransaction,w,w,w,w,floor,
all,holdout5,amazon,amazon,PUT,updatePackage,w,w,w,w,floor,
all,holdout5,amazon,amazon,PUT,updateInboundPlanName,w,w,w,w,floor,
all,holdout5,amazon,amazon,PUT,cancelSelfShipAppointment,x,x,x,x,live-verb,opid:cancel
all,holdout5,amazon,amazon,DELETE,deleteListingsItem,w,w,w,w,floor,
all,holdout5,amazon,amazon,PATCH,patchListingsItem,w,w,w,w,floor,
all,holdout5,amazon,amazon,DELETE,deleteDestination,w,w,w,w,floor,
all,holdout5,amazon,amazon,DELETE,deleteSubscriptionById,w,w,w,w,floor,
all,holdout5,amazon,amazon,DELETE,cancelReport,w,x,x,x,live-verb,opid:cancel
all,holdout5,amazon,amazon,DELETE,cancelReservation,x,x,x,x,live-verb,opid:cancel
all,holdout5,amazon,amazon,PUT,cancelServiceJobByServiceJobId,x,x,x,x,live-verb,opid:cancel
all,holdout5,amazon,amazon,PUT,linkCarrierAccount,w,x,x,x,party-noun,opid:account
all,holdout5,amazon,amazon,PUT,cancelShipment,x,x,x,x,live-verb,opid:cancel
all,holdout5,amazon,amazon,PUT,getUnmanifestedShipments,r,w,w,w,floor,

section,vendor,set,operationId,method,lovo_result
lovo,camara,camara,patchTrafficInfluence,PATCH,missed
lovo,camara,camara,deleteTrafficInfluence,DELETE,caught
lovo,cloudflare,holdout4,ssl-verification-edit-ssl-certificate-pack-validation-method,PATCH,missed
lovo,discord,holdout3,update_stage_instance,PATCH,missed
lovo,github,holdout1,issues/set-issue-field-values,PUT,caught
lovo,github,holdout1,issues/remove-sub-issue,DELETE,missed
lovo,notion,holdout5,patch-block-children,PATCH,missed
lovo,vercel,holdout3,patchUrlProtectionBypass,PATCH,caught
lovo,vercel,holdout3,deleteRedirects,DELETE,missed
lovo,vercel,holdout3,updateSandbox,PATCH,missed

section,set,vendor,method,operationId,truth,noun
new_over_tight,holdout1,twilio,DELETE,DeleteConnectApp,w,noun:instance
new_over_tight,holdout1,twilio,DELETE,DeleteSipDomain,w,noun:instance
new_over_tight,holdout1,github,DELETE,orgs/delete-issue-field,w,noun:field
new_over_tight,holdout2,pagerduty,DELETE,deleteServiceCustomField,w,noun:field
new_over_tight,holdout4,linode,DELETE,delete-databases-mysql-instance,w,noun:instance
new_over_tight,holdout4,linode,DELETE,delete-databases-postgre-sql-instance,w,noun:instance
new_over_tight,holdout4,cloudflare,DELETE,ai-search-namespace-delete-instance,w,noun:instance
