row_id,provider,method,path,operationId,summary,description,truth_class,confidence,reason,source_set
pc-r1632,meta-whatsapp,GET,/{Version}/{OBO-Mobility-Intent-ID},getOBOMobilityIntent,Get OBO Mobility Intent Details,"Retrieve details for a specific OBO Mobility Intent Node. This endpoint provides
comprehensive information about the mobility intent, including current status,
associated WABA and solution details, and operation history.


**Use Cases:**
- Monitor status of ongoing mobility operations
- Retrieve mobility intent configuration details
- Audit mobility operation progress
- Verify operation parameters and settings


**Response Fields:**
The response includes the complete OBO Mobility Intent Node with all available
fields including id, waba, solution, status, and timestamps.",r,,,provider-corpus-2026-09-16
pc-r1633,meta-whatsapp,POST,/{Version}/{WABA-ID}/obo_mobility_intent,createOBOMobilityIntent,Create OBO Mobility Intent,"Create a new On-Behalf-Of mobility intent for a WhatsApp Business Account.
This endpoint allows authorized solution providers to initiate mobility operations
on behalf of business accounts, facilitating transfers and handovers between
different solution providers.


**Use Cases:**
- Initiate account mobility process between solution providers
- Request handover of account management
- Schedule mobility operations for future execution
- Coordinate multi-partner solution transitions


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Mobility Process:**
1. Create mobility intent with appropriate intent type
2. System validates mobility eligibility and permissions
3. Intent enters PENDING status awaiting approvals
4. Partner notifications and approval workflows are triggered
5. Upon approval, mobility operation is scheduled or executed
6. Status updates are provided throughout the process",x,low,unsure initiates transfer with outside party,provider-corpus-2026-09-16
pc-r1634,meta-whatsapp,GET,/{Version}/{WABA-ID}/phone_numbers,getWhatsAppBusinessAccountPhoneNumbers,Get WhatsApp Business Account Phone Numbers,"Retrieve all phone numbers associated with a WhatsApp Business Account, including their
status, verification details, and configuration information.

**Use Cases:**
- List all phone numbers in a WhatsApp Business Account
- Monitor phone number status and verification progress
- Check phone number quality ratings and messaging limits
- Retrieve phone number configuration details

**Filtering:**
You can filter results using the `filtering` parameter with JSON-encoded filter conditions.
Supported filters include account_mode, messaging_limit_tier, and is_official_business_account.

**Sorting:**
Results can be sorted by creation_time or last_onboarded_time in ascending or descending order.

**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.

**Caching:**
Phone number data can be cached for short periods, but status information may change
frequently. Implement appropriate cache invalidation strategies.",r,,,provider-corpus-2026-09-16
pc-r1635,meta-whatsapp,POST,/{Version}/{WABA-ID}/phone_numbers,createWhatsAppBusinessAccountPhoneNumber,Create WhatsApp Business Account Phone Number,"Create a new phone number registration within a WhatsApp Business Account. This endpoint
initiates the phone number onboarding process, including verification and business name approval.

**Use Cases:**
- Add new phone numbers to a WhatsApp Business Account
- Migrate phone numbers from on-premises to Cloud API
- Register pre-verified phone numbers for BSP scenarios
- Initiate phone number verification and business name approval process

**Prerequisites:**
- WhatsApp Business Account must have available phone number slots
- Phone number must not be already registered with WhatsApp Business
- Business must meet WhatsApp Business API requirements
- Appropriate permissions and app review completion

**Process Flow:**
1. Submit phone number and business name for registration
2. Phone number verification code will be sent (if not pre-verified)
3. Business name will be submitted for review
4. Monitor status through GET endpoint until approval

**Rate Limiting:**
Phone number creation is subject to strict rate limits to prevent abuse.
Standard Graph API rate limits also apply.

**Migration Support:**
Set migrate_phone_number=true when migrating from on-premises API to Cloud API.
Additional validation and migration-specific logic will be applied.",x,low,create initiates registration and verification with carrier,provider-corpus-2026-09-16
pc-r1636,meta-whatsapp,GET,/{Version}/{WABA-ID}/schedules,getWhatsAppBusinessAccountSchedules,Get WhatsApp Business Account Schedules,"Retrieve all schedules associated with a WhatsApp Business Account, including their
configuration, status, and execution details.

**Use Cases:**
- List all schedules in a WhatsApp Business Account
- Monitor schedule status and performance
- Check schedule configuration and timing details
- Retrieve schedule execution history and metrics

**Filtering:**
You can filter results using the `filtering` parameter with JSON-encoded filter conditions.
Supported filters include status, schedule_type, and is_active.

**Sorting:**
Results can be sorted by created_time or updated_time in ascending or descending order.

**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.

**Caching:**
Schedule data can be cached for short periods, but status information may change
frequently. Implement appropriate cache invalidation strategies.",r,,,provider-corpus-2026-09-16
pc-r1637,meta-whatsapp,POST,/{Version}/{WABA-ID}/schedules,createWhatsAppBusinessAccountSchedule,Create WhatsApp Business Account Schedule,"Create a new schedule configuration within a WhatsApp Business Account. This endpoint
allows businesses to set up automated scheduling for various operations such as business hours,
automated responses, and maintenance windows.

**Use Cases:**
- Create business hours schedules for automated responses
- Set up maintenance windows for system operations
- Configure automated message campaigns with timing
- Establish recurring schedule patterns for business operations

**Prerequisites:**
- WhatsApp Business Account must have scheduling feature enabled
- Appropriate permissions for schedule management
- Valid timezone and time format specifications
- Business must meet WhatsApp Business API requirements

**Process Flow:**
1. Submit schedule configuration with timing and recurrence details
2. System validates schedule parameters and conflicts
3. Schedule is created and activated based on is_active flag
4. Monitor schedule status through GET endpoint

**Rate Limiting:**
Schedule creation is subject to rate limits to prevent abuse.
Standard Graph API rate limits also apply.

**Validation:**
- Start time must be before end time
- Timezone must be valid IANA timezone identifier
- Days of week must be valid if specified
- Recurrence pattern must be consistent with schedule type",w,high,ii plain create of schedule,provider-corpus-2026-09-16
pc-r1638,meta-whatsapp,POST,/{Version}/{WABA-ID}/set_obo_mobility_intent,setOBOMobilityIntent,Set OBO Mobility Intent,"Set On-Behalf-Of (OBO) mobility intent for a Multi-Partner Solution associated with
a WhatsApp Business Account. This endpoint enables solution providers to establish
OBO relationships for managing client WhatsApp Business Accounts.


**Use Cases:**
- Enable solution provider management of client WABA operations
- Establish OBO relationships for business messaging solutions
- Configure cross-platform mobility for WhatsApp Business messaging
- Set up solution provider access to client accounts
- Manage client onboarding for solution provider services


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Caching:**
OBO mobility intent settings are cached for performance. Changes may take a few minutes
to propagate across all systems. Implement appropriate cache invalidation strategies.",w,low,iii POST sets relationship intent settable back,provider-corpus-2026-09-16
pc-r1639,meta-whatsapp,POST,/{Version}/{WABA-ID}/set_solution_migration_intent,setSolutionMigrationIntent,Set Solution Migration Intent,"Set migration intent for a Multi-Partner Solution associated with a WhatsApp Business Account.
This endpoint allows solution partners to initiate, schedule, confirm, or cancel migration
processes for their solutions.


**Use Cases:**
- Initiate migration process for solution transitions
- Schedule migration for a specific time
- Confirm pending migration requests
- Cancel previously set migration intents


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Migration Process:**
1. Set migration intent with INITIATE_MIGRATION
2. System validates migration eligibility
3. Migration intent enters PENDING status
4. Partner can schedule or confirm migration
5. Migration executes at scheduled time or immediately upon confirmation",x,low,unsure confirms migration with outside partner,provider-corpus-2026-09-16
pc-r1640,meta-whatsapp,GET,/{Version}/{WABA-ID}/solutions,listWabaSolutions,List Multi-Partner Solutions for WABA,"Retrieve a paginated list of Multi-Partner Solutions associated with the specified
WhatsApp Business Account. This endpoint supports field selection and cursor-based
pagination for efficient data retrieval.


**Use Cases:**
- Discover available Multi-Partner Solutions for business onboarding
- Monitor solution status and availability across your WABA
- Retrieve solution ownership and permission details
- Filter solutions by specific fields or status requirements


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Caching:**
Solution listings can be cached for short periods, but status information may change
frequently during transitions. Implement appropriate cache invalidation strategies.


**Pagination:**
This endpoint supports cursor-based pagination using `limit`, `after`, and `before`
parameters. Use the `paging` object in responses to navigate through result sets.",r,,,provider-corpus-2026-09-16
pc-r1641,meta-whatsapp,GET,/{Version}/{WABA-ID}/subscribed_apps,getAllSubscriptionsForAWaba,Get All Subscriptions for a WABA,"Retrieve a list of all applications currently subscribed to webhook events
for the specified WhatsApp Business Account.


**Use Cases:**
- Monitor which apps are subscribed to WABA webhook events
- Audit subscription configurations and permissions
- Verify subscription status before making changes
- Retrieve subscription details for troubleshooting


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Caching:**
Subscription data can be cached for short periods, but may change when apps
subscribe or unsubscribe. Implement appropriate cache invalidation strategies.",r,,,provider-corpus-2026-09-16
pc-r1642,meta-whatsapp,POST,/{Version}/{WABA-ID}/subscribed_apps,subscribeToWabaWebhooks,Subscribe to WABA Webhooks,"Subscribe your application to webhook events for the specified WhatsApp Business Account.
This enables your app to receive real-time notifications for events such as message
deliveries, status updates, and other WABA activities.


**Use Cases:**
- Enable webhook notifications for your app
- Configure custom callback URLs for webhook delivery
- Set up webhook verification tokens for security
- Override default app webhook settings for specific WABAs


**Rate Limiting:**
Standard Graph API rate limits apply. Subscription operations may have additional
throttling to prevent abuse.


**Security:**
Always use HTTPS endpoints for webhook callbacks. Verify webhook authenticity
using the provided verification tokens and signature validation.",w,high,ii creates webhook subscription,provider-corpus-2026-09-16
pc-r1643,meta-whatsapp,DELETE,/{Version}/{WABA-ID}/subscribed_apps,unsubscribeFromWabaWebhooks,Unsubscribe from WABA Webhooks,"Unsubscribe your application from webhook events for the specified WhatsApp Business Account.
This will stop your app from receiving webhook notifications for this WABA.


**Use Cases:**
- Disable webhook notifications when no longer needed
- Clean up subscriptions during app decommissioning
- Temporarily disable webhooks for maintenance
- Remove subscriptions for WABAs no longer managed by your app


**Rate Limiting:**
Standard Graph API rate limits apply. Unsubscription operations are typically
processed immediately.


**Important:**
Unsubscribing will immediately stop all webhook deliveries for this WABA.
Ensure your application can handle the cessation of webhook events gracefully.",x,high,DELETE method wins removes subscription,provider-corpus-2026-09-16
pc-r1644,meta-whatsapp,GET,/{Version}/{TEMPLATE_ID},getTemplateByIdDefaultFields,Get template by ID (default fields),"- Guide: [Message Templates](https://developers.facebook.com/docs/business-messaging/whatsapp/templates/overview)
- Guide: [How To Monitor Quality Signals](https://developers.facebook.com/docs/whatsapp/guides/how-to-monitor-quality-signals)
- Endpoint reference: [WhatsApp Message Template](https://developers.facebook.com/docs/graph-api/reference/whats-app-business-hsm/)",r,,,provider-corpus-2026-09-16
pc-r1645,meta-whatsapp,POST,/{Version}/{TEMPLATE_ID},editTemplate,Edit template,"- Guide: [Message Templates](https://developers.facebook.com/docs/business-messaging/whatsapp/templates/overview)
- Guide: [How To Monitor Quality Signals](https://developers.facebook.com/docs/whatsapp/guides/how-to-monitor-quality-signals)
- Endpoint reference: [WhatsApp Message Template](https://developers.facebook.com/docs/graph-api/reference/whats-app-business-hsm/)",w,high,iii edits template,provider-corpus-2026-09-16
pc-r1646,meta-whatsapp,GET,/{Version}/{WABA-ID}/message_templates,getTemplateByNameDefaultFields,Get template by name (default fields),"- Guide: [Message Templates](https://developers.facebook.com/docs/business-messaging/whatsapp/templates/overview)
- Guide: [How To Monitor Quality Signals](https://developers.facebook.com/docs/whatsapp/guides/how-to-monitor-quality-signals)
- Endpoint reference: [WhatsApp Business Account > Message Templates](https://developers.facebook.com/docs/graph-api/reference/whats-app-business-account/message_templates/)",r,,,provider-corpus-2026-09-16
pc-r1647,meta-whatsapp,POST,/{Version}/{WABA-ID}/message_templates,createAuthenticationTemplateWOtpCopyCodeButton,Create authentication template w/ OTP copy code button,"- Guide: [Authentication Templates with OTP Buttons](https://developers.facebook.com/docs/business-messaging/whatsapp/templates/authentication-templates/authentication-templates)
- Guide: [Message Templates](https://developers.facebook.com/docs/business-messaging/whatsapp/templates/overview)
- Guide: [How To Monitor Quality Signals](https://developers.facebook.com/docs/whatsapp/guides/how-to-monitor-quality-signals)
- Endpoint reference: [WhatsApp Business Account > Message Templates](https://developers.facebook.com/docs/graph-api/reference/whats-app-business-account/message_templates/)",w,high,ii plain create of message template,provider-corpus-2026-09-16
pc-r1648,meta-whatsapp,DELETE,/{Version}/{WABA-ID}/message_templates,deleteTemplateByName,Delete template by name,"- Guide: [Message Templates](https://developers.facebook.com/docs/business-messaging/whatsapp/templates/overview)
- Guide: [How To Monitor Quality Signals](https://developers.facebook.com/docs/whatsapp/guides/how-to-monitor-quality-signals)
- Endpoint reference: [WhatsApp Business Account > Message Templates](https://developers.facebook.com/docs/graph-api/reference/whats-app-business-account/message_templates/)",x,high,a DELETE template no restore,provider-corpus-2026-09-16
pc-r1649,meta-whatsapp,GET,/{Version}/{WABA-ID}/activities,getWhatsAppBusinessAccountActivities,Get WhatsApp Business Account Activities,"Retrieve activity logs and audit trails for a WhatsApp Business Account.
This endpoint returns a chronological list of activities performed on the account,
including administrative actions, configuration changes, and operational events.

**Use Cases:**
- Monitor account configuration changes and administrative actions
- Generate compliance and audit reports for regulatory requirements
- Track user activities and permission modifications
- Investigate security incidents and unauthorized access attempts
- Monitor API usage patterns and operational events

**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.

**Caching:**
Activity data can be cached for short periods, but recent activities may change
frequently. Implement appropriate cache invalidation strategies.",r,,,provider-corpus-2026-09-16
pc-r1650,meta-whatsapp,GET,/{Version}/{WABA-ID},getWhatsAppBusinessAccountDetails,Get WhatsApp Business Account Details,"Retrieve comprehensive details about a WhatsApp Business Account, including its
configuration, status, and settings.

**Use Cases:**
- Retrieve WhatsApp Business Account configuration and details
- Monitor account status and verification state
- Check account ownership and business information
- Validate account state before messaging operations

**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.

**Caching:**
Account details can be cached for moderate periods, but verification status may change.
Implement appropriate cache invalidation strategies.",r,,,provider-corpus-2026-09-16
pc-r1651,meta-whatsapp,POST,/{Version}/{WABA-ID},updateWhatsAppBusinessAccount,Update WhatsApp Business Account,"Update configuration and settings for a WhatsApp Business Account.

**Use Cases:**
- Update WhatsApp Business Account name and configuration
- Modify account settings and preferences
- Update business information and verification details

**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.",w,high,iii POST edits account settings,provider-corpus-2026-09-16
pc-r1652,meta-whatsapp,GET,/{Version}/{WABA-Bot-ID},getWhatsAppBusinessBotDetails,Get WhatsApp Business Bot Details,"Retrieve comprehensive details about a WhatsApp Business Bot, including its prompts,
commands, and welcome message configuration.


**Use Cases:**
- Retrieve bot configuration and automated response settings
- Monitor available bot commands and their descriptions
- Check welcome message enablement status
- Validate bot state before implementing automation
- Audit bot configuration for business compliance


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Caching:**
Bot details can be cached for moderate periods, but configuration may change
when bot settings are updated. Implement appropriate cache invalidation strategies.",r,,,provider-corpus-2026-09-16
pc-r1653,meta-whatsapp,GET,/{Version}/{WhatsApp-Business-Profile-ID},getWhatsAppBusinessProfileDetails,Get WhatsApp Business Profile Details,"Retrieve comprehensive details about a WhatsApp Business Profile, including business information,
contact details, and profile configuration.


**Use Cases:**
- Retrieve business profile information and metadata
- Verify profile configuration and contact details
- Check profile status and business information
- Validate profile state before business operations


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.


**Caching:**
Profile details can be cached for moderate periods, but business information may change
occasionally. Implement appropriate cache invalidation strategies.",r,,,provider-corpus-2026-09-16
pc-r1654,meta-whatsapp,POST,/{Version}/{WhatsApp-Business-Profile-ID},updateWhatsAppBusinessProfile,Update WhatsApp Business Profile,"Update the WhatsApp Business Profile information such as business description, email, address,
and other profile details. This operation corresponds to the GraphWhatsAppBusinessProfilePost functionality.


**Use Cases:**
- Update business profile information and metadata
- Modify contact details and business description
- Change business vertical classification
- Update website URLs and profile picture
- Maintain current business profile information


**Profile Picture Upload:**
It is recommended to use the Resumable Upload API to obtain an upload ID, then use this
upload ID to obtain the picture handle for the `profile_picture_handle` field.


**Rate Limiting:**
Standard Graph API rate limits apply. Use appropriate retry logic with exponential backoff.",w,high,iii POST updates profile,provider-corpus-2026-09-16
pc-r1655,meta-whatsapp,POST,/whatsapp/webhooks,,Receive incoming WhatsApp messages,Endpoint for receiving webhook payloads for diverse incoming WhatsApp message types.,r,,,provider-corpus-2026-09-16
pc-r1656,spotify,GET,/albums/{id},get-an-album,Get Album,Get Spotify catalog information for a single album.,r,,,provider-corpus-2026-09-16
pc-r1657,spotify,GET,/albums,get-multiple-albums,Get Several Albums,Get Spotify catalog information for multiple albums identified by their Spotify IDs.,r,,,provider-corpus-2026-09-16
pc-r1658,spotify,GET,/albums/{id}/tracks,get-an-albums-tracks,Get Album Tracks,"Get Spotify catalog information about an album’s tracks.
Optional parameters can be used to limit the number of tracks returned.",r,,,provider-corpus-2026-09-16
pc-r1659,spotify,GET,/artists/{id},get-an-artist,Get Artist,Get Spotify catalog information for a single artist identified by their unique Spotify ID.,r,,,provider-corpus-2026-09-16
pc-r1660,spotify,GET,/artists,get-multiple-artists,Get Several Artists,Get Spotify catalog information for several artists based on their Spotify IDs.,r,,,provider-corpus-2026-09-16
pc-r1661,spotify,GET,/artists/{id}/albums,get-an-artists-albums,Get Artist's Albums,Get Spotify catalog information about an artist's albums.,r,,,provider-corpus-2026-09-16
pc-r1662,spotify,GET,/artists/{id}/top-tracks,get-an-artists-top-tracks,Get Artist's Top Tracks,Get Spotify catalog information about an artist's top tracks by country.,r,,,provider-corpus-2026-09-16
pc-r1663,spotify,GET,/artists/{id}/related-artists,get-an-artists-related-artists,Get Artist's Related Artists,Get Spotify catalog information about artists similar to a given artist. Similarity is based on analysis of the Spotify community's listening history.,r,,,provider-corpus-2026-09-16
pc-r1664,spotify,GET,/shows/{id},get-a-show,Get Show,"Get Spotify catalog information for a single show identified by its
unique Spotify ID.",r,,,provider-corpus-2026-09-16
pc-r1665,spotify,GET,/shows,get-multiple-shows,Get Several Shows,Get Spotify catalog information for several shows based on their Spotify IDs.,r,,,provider-corpus-2026-09-16
pc-r1666,spotify,GET,/shows/{id}/episodes,get-a-shows-episodes,Get Show Episodes,Get Spotify catalog information about an show’s episodes. Optional parameters can be used to limit the number of episodes returned.,r,,,provider-corpus-2026-09-16
pc-r1667,spotify,GET,/episodes/{id},get-an-episode,Get Episode,"Get Spotify catalog information for a single episode identified by its
unique Spotify ID.",r,,,provider-corpus-2026-09-16
pc-r1668,spotify,GET,/episodes,get-multiple-episodes,Get Several Episodes,Get Spotify catalog information for several episodes based on their Spotify IDs.,r,,,provider-corpus-2026-09-16
pc-r1669,spotify,GET,/audiobooks/{id},get-an-audiobook,Get an Audiobook,"Get Spotify catalog information for a single audiobook. Audiobooks are only available within the US, UK, Canada, Ireland, New Zealand and Australia markets.",r,,,provider-corpus-2026-09-16
pc-r1670,spotify,GET,/audiobooks,get-multiple-audiobooks,Get Several Audiobooks,"Get Spotify catalog information for several audiobooks identified by their Spotify IDs. Audiobooks are only available within the US, UK, Canada, Ireland, New Zealand and Australia markets.",r,,,provider-corpus-2026-09-16
pc-r1671,spotify,GET,/audiobooks/{id}/chapters,get-audiobook-chapters,Get Audiobook Chapters,"Get Spotify catalog information about an audiobook's chapters. Audiobooks are only available within the US, UK, Canada, Ireland, New Zealand and Australia markets.",r,,,provider-corpus-2026-09-16
pc-r1672,spotify,GET,/me/audiobooks,get-users-saved-audiobooks,Get User's Saved Audiobooks,Get a list of the audiobooks saved in the current Spotify user's 'Your Music' library.,r,,,provider-corpus-2026-09-16
pc-r1673,spotify,PUT,/me/audiobooks,save-audiobooks-user,Save Audiobooks for Current User,"Save one or more audiobooks to the current Spotify user's library.

**Note:** This endpoint is deprecated. Use [Save Items to Library](/documentation/web-api/reference/save-library-items) instead.",w,high,PUT adds audiobooks to library,provider-corpus-2026-09-16
pc-r1674,spotify,DELETE,/me/audiobooks,remove-audiobooks-user,Remove User's Saved Audiobooks,"Remove one or more audiobooks from the Spotify user's library.

**Note:** This endpoint is deprecated. Use [Remove Items from Library](/documentation/web-api/reference/remove-library-items) instead.",x,high,DELETE removes from library method wins,provider-corpus-2026-09-16
pc-r1675,spotify,GET,/me/audiobooks/contains,check-users-saved-audiobooks,Check User's Saved Audiobooks,"Check if one or more audiobooks are already saved in the current Spotify user's library.

**Note:** This endpoint is deprecated. Use [Check User's Saved Items](/documentation/web-api/reference/check-library-contains) instead.",r,,,provider-corpus-2026-09-16
pc-r1676,spotify,GET,/chapters/{id},get-a-chapter,Get a Chapter,"Get Spotify catalog information for a single audiobook chapter. Chapters are only available within the US, UK, Canada, Ireland, New Zealand and Australia markets.",r,,,provider-corpus-2026-09-16
pc-r1677,spotify,GET,/chapters,get-several-chapters,Get Several Chapters,"Get Spotify catalog information for several audiobook chapters identified by their Spotify IDs. Chapters are only available within the US, UK, Canada, Ireland, New Zealand and Australia markets.",r,,,provider-corpus-2026-09-16
pc-r1678,spotify,GET,/tracks/{id},get-track,Get Track,"Get Spotify catalog information for a single track identified by its
unique Spotify ID.",r,,,provider-corpus-2026-09-16
pc-r1679,spotify,GET,/tracks,get-several-tracks,Get Several Tracks,Get Spotify catalog information for multiple tracks based on their Spotify IDs.,r,,,provider-corpus-2026-09-16
pc-r1680,spotify,GET,/search,search,Search for Item,"Get Spotify catalog information about albums, artists, playlists, tracks, shows, episodes or audiobooks
that match a keyword string. Audiobooks are only available within the US, UK, Canada, Ireland, New Zealand and Australia markets.",r,,,provider-corpus-2026-09-16
pc-r1681,spotify,GET,/me,get-current-users-profile,Get Current User's Profile,"Get detailed profile information about the current user (including the
current user's username).",r,,,provider-corpus-2026-09-16
pc-r1682,spotify,GET,/playlists/{playlist_id},get-playlist,Get Playlist,Get a playlist owned by a Spotify user.,r,,,provider-corpus-2026-09-16
pc-r1683,spotify,PUT,/playlists/{playlist_id},change-playlist-details,Change Playlist Details,"Change a playlist's name and public/private state. (The user must, of
course, own the playlist.)",x,low,c may set playlist public exposure tighter on doubt,provider-corpus-2026-09-16
pc-r1684,spotify,GET,/playlists/{playlist_id}/tracks,get-playlists-tracks,Get Playlist Items [DEPRECATED],"**Deprecated:** Use [Get Playlist Items](/documentation/web-api/reference/get-playlists-items) instead.

Get full details of the items of a playlist owned by a Spotify user.",r,,,provider-corpus-2026-09-16
pc-r1685,spotify,PUT,/playlists/{playlist_id}/tracks,reorder-or-replace-playlists-tracks,Update Playlist Items [DEPRECATED],"**Deprecated:** Use [Update Playlist Items](/documentation/web-api/reference/reorder-or-replace-playlists-items) instead.

Either reorder or replace items in a playlist depending on the request's parameters.
To reorder items, include `range_start`, `insert_before`, `range_length` and `snapshot_id` in the request's body.
To replace items, include `uris` as either a query parameter or in the request's body.
Replacing items in a playlist will overwrite its existing items. This operation can be used for replacing or clearing items in a playlist.
<br/>
**Note**: Replace and reorder are mutually exclusive operations which share the same endpoint, but have different parameters.
These operations can't be applied together in a single request.",w,high,PUT reorders or replaces playlist items,provider-corpus-2026-09-16
pc-r1686,spotify,POST,/playlists/{playlist_id}/tracks,add-tracks-to-playlist,Add Items to Playlist [DEPRECATED],"**Deprecated:** Use [Add Items to Playlist](/documentation/web-api/reference/add-items-to-playlist) instead.

Add one or more items to a user's playlist.",w,high,ii adds items to playlist,provider-corpus-2026-09-16
pc-r1687,spotify,DELETE,/playlists/{playlist_id}/tracks,remove-tracks-playlist,Remove Playlist Items [DEPRECATED],"**Deprecated:** Use [Remove Playlist Items](/documentation/web-api/reference/remove-items-playlist) instead.

Remove one or more items from a user's playlist.",x,high,a DELETE playlist items method wins,provider-corpus-2026-09-16
pc-r1688,spotify,GET,/playlists/{playlist_id}/items,get-playlists-items,Get Playlist Items,"Get full details of the items of a playlist owned by a Spotify user.

**Note**: This endpoint is only accessible for playlists owned by the current user or playlists the user is a collaborator of. A `403 Forbidden` status code will be returned if the user is neither the owner nor a collaborator of the playlist.",r,,,provider-corpus-2026-09-16
pc-r1689,spotify,PUT,/playlists/{playlist_id}/items,reorder-or-replace-playlists-items,Update Playlist Items,"Either reorder or replace items in a playlist depending on the request's parameters.
To reorder items, include `range_start`, `insert_before`, `range_length` and `snapshot_id` in the request's body.
To replace items, include `uris` as either a query parameter or in the request's body.
Replacing items in a playlist will overwrite its existing items. This operation can be used for replacing or clearing items in a playlist.
<br/>
**Note**: Replace and reorder are mutually exclusive operations which share the same endpoint, but have different parameters.
These operations can't be applied together in a single request.",w,high,PUT reorders or replaces playlist items add back,provider-corpus-2026-09-16
pc-r1690,spotify,POST,/playlists/{playlist_id}/items,add-items-to-playlist,Add Items to Playlist,Add one or more items to a user's playlist.,w,high,w adds items to playlist,provider-corpus-2026-09-16
pc-r1691,spotify,DELETE,/playlists/{playlist_id}/items,remove-items-playlist,Remove Playlist Items,Remove one or more items from a user's playlist.,x,high,DELETE playlist items method wins,provider-corpus-2026-09-16
pc-r1692,spotify,GET,/me/playlists,get-a-list-of-current-users-playlists,Get Current User's Playlists,"Get a list of the playlists owned or followed by the current Spotify
user.",r,,,provider-corpus-2026-09-16
pc-r1693,spotify,POST,/me/playlists,create-playlist,Create Playlist,"Create a playlist for the current Spotify user. (The playlist will be empty until
you [add tracks](/documentation/web-api/reference/add-tracks-to-playlist).)
Each user is generally limited to a maximum of 11000 playlists.",w,high,ii plain create of playlist,provider-corpus-2026-09-16
pc-r1694,spotify,PUT,/me/library,save-library-items,Save Items to Library,"Add one or more items to the current user's library. Accepts Spotify URIs for tracks, albums, episodes, shows, audiobooks, users, and playlists.",w,high,PUT adds items to library,provider-corpus-2026-09-16
pc-r1695,spotify,DELETE,/me/library,remove-library-items,Remove Items from Library,"Remove one or more items from the current user's library. Accepts Spotify URIs for tracks, albums, episodes, shows, audiobooks, users, and playlists.",x,high,DELETE removes library items method wins,provider-corpus-2026-09-16
pc-r1696,spotify,GET,/me/library/contains,check-library-contains,Check User's Saved Items,"Check if one or more items are already saved in the current user's library. Accepts Spotify URIs for tracks, albums, episodes, shows, audiobooks, artists, users, and playlists.",r,,,provider-corpus-2026-09-16
pc-r1697,spotify,GET,/me/albums,get-users-saved-albums,Get User's Saved Albums,Get a list of the albums saved in the current Spotify user's 'Your Music' library.,r,,,provider-corpus-2026-09-16
pc-r1698,spotify,PUT,/me/albums,save-albums-user,Save Albums for Current User,"Save one or more albums to the current user's 'Your Music' library.

**Note:** This endpoint is deprecated. Use [Save Items to Library](/documentation/web-api/reference/save-library-items) instead.",w,high,PUT adds albums to library,provider-corpus-2026-09-16
pc-r1699,spotify,DELETE,/me/albums,remove-albums-user,Remove Users' Saved Albums,"Remove one or more albums from the current user's 'Your Music' library.

**Note:** This endpoint is deprecated. Use [Remove Items from Library](/documentation/web-api/reference/remove-library-items) instead.",x,high,DELETE method wins removes albums,provider-corpus-2026-09-16
pc-r1700,spotify,GET,/me/albums/contains,check-users-saved-albums,Check User's Saved Albums,"Check if one or more albums is already saved in the current Spotify user's 'Your Music' library.

**Note:** This endpoint is deprecated. Use [Check User's Saved Items](/documentation/web-api/reference/check-library-contains) instead.",r,,,provider-corpus-2026-09-16
pc-r1701,spotify,GET,/me/tracks,get-users-saved-tracks,Get User's Saved Tracks,Get a list of the songs saved in the current Spotify user's 'Your Music' library.,r,,,provider-corpus-2026-09-16
pc-r1702,spotify,PUT,/me/tracks,save-tracks-user,Save Tracks for Current User,"Save one or more tracks to the current user's 'Your Music' library.

**Note:** This endpoint is deprecated. Use [Save Items to Library](/documentation/web-api/reference/save-library-items) instead.",w,high,PUT adds tracks to library,provider-corpus-2026-09-16
pc-r1703,spotify,DELETE,/me/tracks,remove-tracks-user,Remove User's Saved Tracks,"Remove one or more tracks from the current user's 'Your Music' library.

**Note:** This endpoint is deprecated. Use [Remove Items from Library](/documentation/web-api/reference/remove-library-items) instead.",x,high,DELETE removes saved tracks method wins,provider-corpus-2026-09-16
pc-r1704,spotify,GET,/me/tracks/contains,check-users-saved-tracks,Check User's Saved Tracks,"Check if one or more tracks is already saved in the current Spotify user's 'Your Music' library.

**Note:** This endpoint is deprecated. Use [Check User's Saved Items](/documentation/web-api/reference/check-library-contains) instead.",r,,,provider-corpus-2026-09-16
